student,course,activity,room,day,time
Yanick Abbing,Data Mining,w1,A1.04,Mon,9
Yanick Abbing,Analysemethoden en -technieken,h1,C0.110,Thu,15
Yanick Abbing,Data Mining,h1,A1.04,Wed,9
Yanick Abbing,Lineaire Algebra,h2,C1.112,Tue,9
Yanick Abbing,Data Mining,p1,A1.10,Thu,11
Yanick Abbing,Lineaire Algebra,h1,A1.10,Tue,11
Yanick Abbing,Software engineering,p1,A1.10,Fri,13
Yanick Abbing,Software engineering,w1,A1.10,Mon,13
Yanick Abbing,Software engineering,h1,C0.110,Thu,9
Yanick Abbing,Data Mining,h2,B0.201,Tue,11
Roelof Adam,Webprogrammeren en databases,h2,C1.112,Mon,9
Roelof Adam,Webprogrammeren en databases,h1,C1.112,Wed,13
Roelof Adam,Webprogrammeren en databases,p1,A1.06,Thu,11
Roelof Adam,Webprogrammeren en databases,w1,A1.06,Thu,9
Willibrordus Agema,Calculus 2,h1,C0.110,Mon,11
Willibrordus Agema,Calculus 2,w1,A1.10,Wed,9
Servaas Anker,Architectuur en computerorganisatie,h2,C0.110,Tue,13
Servaas Anker,Software engineering,w1,C0.110,Mon,9
Servaas Anker,Software engineering,p1,A1.10,Fri,13
Servaas Anker,Architectuur en computerorganisatie,h1,B0.201,Thu,9
Servaas Anker,Software engineering,h1,C0.110,Thu,9
Wissal Ankone,Compilerbouw (practicum),p1,A1.08,Fri,15
Wissal Ankone,Project Genetic Algorithms,p1,A1.06,Tue,9
Herman Apeldoorn,Advanced Heuristics,h1,A1.08,Fri,11
Herman Apeldoorn,Advanced Heuristics,p1,A1.10,Thu,15
Herman Apeldoorn,Heuristieken 2,h1,A1.10,Tue,9
Herman Apeldoorn,Heuristieken 2,w1,A1.08,Wed,13
Evi Appel,Collectieve Intelligentie,w1,C0.110,Tue,9
Evi Appel,Collectieve Intelligentie,p1,C0.110,Mon,15
Evi Appel,Collectieve Intelligentie,h3,C0.110,Thu,11
Evi Appel,Collectieve Intelligentie,h1,C0.110,Wed,13
Evi Appel,Collectieve Intelligentie,h2,B0.201,Mon,13
Wilmer Appelhof,Programmeren in Java 2,p1,A1.06,Wed,15
Benjamin Arendse,Webprogrammeren en databases,w1,A1.06,Thu,9
Benjamin Arendse,Webprogrammeren en databases,h1,C1.112,Wed,13
Benjamin Arendse,Webprogrammeren en databases,h2,C1.112,Mon,9
Benjamin Arendse,Webprogrammeren en databases,p1,B0.201,Mon,11
Diny Aslan,Calculus 2,w1,A1.08,Mon,13
Diny Aslan,Calculus 2,h1,C0.110,Mon,11
Chesney Autar,Moderne Databases,h1,C1.112,Mon,11
Chesney Autar,Moderne Databases,w1,A1.10,Mon,15
Chesney Autar,Moderne Databases,p1,A1.06,Wed,13
Martin Avci,Compilerbouw,h1,B0.201,Fri,11
Martin Avci,Compilerbouw,h2,A1.10,Fri,9
Martin Avci,Compilerbouw,p1,C1.112,Fri,13
Martin Avci,Project Numerical Recipes,p1,C0.110,Wed,15
Martin Avci,Compilerbouw,w1,B0.201,Wed,11
Gidon Baetsen,Informatie- en organisatieontwerp,h2,A1.06,Tue,15
Gidon Baetsen,Moderne Databases,w1,C0.110,Fri,15
Gidon Baetsen,Moderne Databases,h1,C1.112,Mon,11
Gidon Baetsen,Informatie- en organisatieontwerp,p1,C1.112,Mon,13
Gidon Baetsen,Informatie- en organisatieontwerp,h1,C0.110,Tue,17
Gidon Baetsen,Moderne Databases,p1,A1.08,Thu,11
Gidon Baetsen,Informatie- en organisatieontwerp,w1,C0.110,Mon,17
Rhona Bakkum,Moderne Databases,w1,C0.110,Fri,15
Rhona Bakkum,Moderne Databases,h1,C1.112,Mon,11
Rhona Bakkum,Moderne Databases,p1,A1.08,Thu,11
Rhona Bakkum,Collectieve Intelligentie,w1,A1.04,Fri,15
Rhona Bakkum,Collectieve Intelligentie,p1,C0.110,Fri,17
Rhona Bakkum,Collectieve Intelligentie,h3,C0.110,Thu,11
Rhona Bakkum,Collectieve Intelligentie,h1,C0.110,Wed,13
Rhona Bakkum,Collectieve Intelligentie,h2,B0.201,Mon,13
Wafa Bart,Databases 2,w1,A1.04,Thu,13
Wafa Bart,Databases 2,h1,B0.201,Wed,9
Wafa Bart,Analysemethoden en -technieken,h1,C0.110,Thu,15
Wafa Bart,Collectieve Intelligentie,w1,A1.04,Fri,15
Wafa Bart,Collectieve Intelligentie,p1,C0.110,Fri,17
Wafa Bart,Kansrekenen 2,h1,C0.110,Tue,11
Wafa Bart,Collectieve Intelligentie,h3,C0.110,Thu,11
Wafa Bart,Collectieve Intelligentie,h1,C0.110,Wed,13
Wafa Bart,Collectieve Intelligentie,h2,B0.201,Mon,13
Wafa Bart,Kansrekenen 2,h2,C0.110,Mon,13
Sharan Baselmans,Collectieve Intelligentie,w1,C0.110,Tue,9
Sharan Baselmans,Compilerbouw,h1,B0.201,Fri,11
Sharan Baselmans,Compilerbouw,h2,A1.10,Fri,9
Sharan Baselmans,Compilerbouw,p1,C1.112,Fri,13
Sharan Baselmans,Lineaire Algebra,h2,C1.112,Tue,9
Sharan Baselmans,Compilerbouw,w1,B0.201,Wed,11
Sharan Baselmans,Lineaire Algebra,h1,A1.10,Tue,11
Sharan Baselmans,Collectieve Intelligentie,p1,A1.10,Wed,15
Sharan Baselmans,Project Numerical Recipes,p1,A1.10,Thu,9
Sharan Baselmans,Collectieve Intelligentie,h3,C0.110,Thu,11
Sharan Baselmans,Collectieve Intelligentie,h1,C0.110,Wed,13
Sharan Baselmans,Collectieve Intelligentie,h2,B0.201,Mon,13
Edin Bastings,Collectieve Intelligentie,h2,B0.201,Mon,13
Edin Bastings,Architectuur en computerorganisatie,h2,C0.110,Tue,13
Edin Bastings,Collectieve Intelligentie,w1,A1.06,Tue,11
Edin Bastings,Databases 2,h1,B0.201,Wed,9
Edin Bastings,Algoritmen en complexiteit,w1,A1.08,Wed,11
Edin Bastings,Collectieve Intelligentie,h3,C0.110,Thu,11
Edin Bastings,Algoritmen en complexiteit,h1,C1.112,Tue,11
Edin Bastings,Databases 2,w1,A1.10,Wed,11
Edin Bastings,Netwerken en systeembeveiliging,p1,A1.10,Mon,11
Edin Bastings,Collectieve Intelligentie,p1,C0.110,Fri,17
Edin Bastings,Architectuur en computerorganisatie,h1,B0.201,Thu,9
Edin Bastings,Collectieve Intelligentie,h1,C0.110,Wed,13
Edin Bastings,Algoritmen en complexiteit,p1,A1.04,Wed,15
Mattijs Baudoin,Interactie-ontwerp,h2,B0.201,Thu,13
Mattijs Baudoin,Compilerbouw,h1,B0.201,Fri,11
Mattijs Baudoin,Compilerbouw,h2,A1.10,Fri,9
Mattijs Baudoin,Compilerbouw,p1,C1.112,Fri,13
Mattijs Baudoin,Lineaire Algebra,h2,C1.112,Tue,9
Mattijs Baudoin,Algoritmen en complexiteit,w1,A1.04,Mon,15
Mattijs Baudoin,Algoritmen en complexiteit,h1,C1.112,Tue,11
Mattijs Baudoin,Lineaire Algebra,h1,A1.10,Tue,11
Mattijs Baudoin,Algoritmen en complexiteit,p1,A1.06,Mon,13
Mattijs Baudoin,Netwerken en systeembeveiliging,p1,A1.08,Tue,13
Mattijs Baudoin,Compilerbouw,w1,C1.112,Mon,15
Mattijs Baudoin,Interactie-ontwerp,h1,B0.201,Thu,15
Ravi Bauer,Calculus 2,h1,C0.110,Mon,11
Ravi Bauer,Collectieve Intelligentie,w1,A1.08,Thu,13
Ravi Bauer,Collectieve Intelligentie,p1,A1.10,Wed,15
Ravi Bauer,Netwerken en systeembeveiliging,p1,A1.08,Tue,13
Ravi Bauer,Calculus 2,w1,A1.08,Mon,13
Ravi Bauer,Collectieve Intelligentie,h3,C0.110,Thu,11
Ravi Bauer,Collectieve Intelligentie,h1,C0.110,Wed,13
Ravi Bauer,Collectieve Intelligentie,h2,B0.201,Mon,13
Wiert Becht,Project Numerical Recipes,p1,C0.110,Wed,15
Kyllian Bekkema,Advanced Heuristics,h1,A1.08,Fri,11
Kyllian Bekkema,Reflectie op de digitale cultuur,h2,C1.112,Thu,13
Kyllian Bekkema,Advanced Heuristics,p1,A1.10,Thu,15
Kyllian Bekkema,Reflectie op de digitale cultuur,h1,C1.112,Tue,13
Kyllian Bekkema,Netwerken en systeembeveiliging,p1,A1.10,Mon,11
Kyllian Bekkema,Reflectie op de digitale cultuur,w1,B0.201,Tue,15
Marrie Bekker,Calculus 2,h1,C0.110,Mon,11
Marrie Bekker,Zoeken sturen en bewegen,p1,A1.08,Wed,15
Marrie Bekker,Netwerken en systeembeveiliging,p1,A1.08,Mon,15
Marrie Bekker,Collectieve Intelligentie,w1,A1.08,Thu,13
Marrie Bekker,Calculus 2,w1,A1.04,Mon,13
Marrie Bekker,Collectieve Intelligentie,p1,A1.04,Fri,13
Marrie Bekker,Collectieve Intelligentie,h3,C0.110,Thu,11
Marrie Bekker,Collectieve Intelligentie,h1,C0.110,Wed,13
Marrie Bekker,Collectieve Intelligentie,h2,B0.201,Mon,13
Angèle Berentsen,Advanced Heuristics,h1,A1.08,Fri,11
Angèle Berentsen,Reflectie op de digitale cultuur,h2,C1.112,Thu,13
Angèle Berentsen,Reflectie op de digitale cultuur,h1,C1.112,Tue,13
Angèle Berentsen,Algoritmen en complexiteit,w1,A1.04,Mon,15
Angèle Berentsen,Algoritmen en complexiteit,h1,C1.112,Tue,11
Angèle Berentsen,Advanced Heuristics,p1,A1.08,Fri,13
Angèle Berentsen,Algoritmen en complexiteit,p1,A1.06,Mon,13
Angèle Berentsen,Kansrekenen 2,h1,C0.110,Tue,11
Angèle Berentsen,Reflectie op de digitale cultuur,w1,B0.201,Tue,15
Angèle Berentsen,Kansrekenen 2,h2,C0.110,Mon,13
Emil Bergmans,Netwerken en systeembeveiliging,p1,A1.06,Fri,11
Emil Bergmans,Algoritmen en complexiteit,w1,A1.08,Wed,11
Emil Bergmans,Algoritmen en complexiteit,h1,C1.112,Tue,11
Emil Bergmans,Algoritmen en complexiteit,p1,A1.06,Mon,13
Emil Bergmans,Kansrekenen 2,h1,C0.110,Tue,11
Emil Bergmans,Project Genetic Algorithms,p1,B0.201,Mon,9
Emil Bergmans,Kansrekenen 2,h2,C0.110,Mon,13
Tian Berkers,Advanced Heuristics,h1,A1.08,Fri,11
Tian Berkers,Calculus 2,h1,C0.110,Mon,11
Tian Berkers,Webprogrammeren en databases,h2,C1.112,Mon,9
Tian Berkers,Advanced Heuristics,p1,A1.10,Thu,15
Tian Berkers,Webprogrammeren en databases,h1,C1.112,Wed,13
Tian Berkers,Webprogrammeren en databases,p1,A1.06,Thu,11
Tian Berkers,Webprogrammeren en databases,w1,A1.06,Thu,9
Tian Berkers,Calculus 2,w1,A1.08,Mon,13
Annique Berrevoets,Software engineering,p1,A1.10,Fri,13
Annique Berrevoets,Software engineering,w1,A1.10,Mon,13
Annique Berrevoets,Software engineering,h1,C0.110,Thu,9
Annique Berrevoets,Netwerken en systeembeveiliging,p1,A1.08,Tue,13
Theadora Besemer,Data Mining,h1,A1.04,Wed,9
Theadora Besemer,Data Mining,h2,B0.201,Tue,11
Theadora Besemer,Data Mining,p1,A1.08,Thu,15
Theadora Besemer,Data Mining,w1,A1.06,Mon,9
Abdallah Beulen,Autonomous Agents 2,h2,B0.201,Thu,11
Abdallah Beulen,Reflectie op de digitale cultuur,h2,C1.112,Thu,13
Abdallah Beulen,Heuristieken 1,w1,A1.10,Fri,11
Abdallah Beulen,Analysemethoden en -technieken,h1,C0.110,Thu,15
Abdallah Beulen,Autonomous Agents 2,w1,A1.08,Tue,15
Abdallah Beulen,Reflectie op de digitale cultuur,h1,C1.112,Tue,13
Abdallah Beulen,Software engineering,w1,A1.10,Mon,13
Abdallah Beulen,Heuristieken 1,h1,A1.10,Thu,13
Abdallah Beulen,Autonomous Agents 2,p1,A1.04,Fri,9
Abdallah Beulen,Software engineering,p1,A1.10,Fri,13
Abdallah Beulen,Reflectie op de digitale cultuur,w1,A1.08,Fri,9
Abdallah Beulen,Autonomous Agents 2,h1,B0.201,Tue,13
Abdallah Beulen,Software engineering,h1,C0.110,Thu,9
Eltjo Beunen,Reflectie op de digitale cultuur,h2,C1.112,Thu,13
Eltjo Beunen,Reflectie op de digitale cultuur,h1,C1.112,Tue,13
Eltjo Beunen,Software engineering,p1,C0.110,Wed,9
Eltjo Beunen,Software engineering,w1,A1.10,Mon,13
Eltjo Beunen,Software engineering,h1,C0.110,Thu,9
Eltjo Beunen,Reflectie op de digitale cultuur,w1,A1.04,Tue,15
Saba Bhaggoe,Algoritmen en complexiteit,w1,A1.08,Wed,11
Saba Bhaggoe,Programmeren in Java 2,p1,A1.04,Wed,11
Saba Bhaggoe,Algoritmen en complexiteit,h1,C1.112,Tue,11
Saba Bhaggoe,Algoritmen en complexiteit,p1,A1.06,Mon,13
Saba Bhaggoe,Kansrekenen 2,h1,C0.110,Tue,11
Saba Bhaggoe,Kansrekenen 2,h2,C0.110,Mon,13
Ella Bischoff,Collectieve Intelligentie,w1,C0.110,Tue,9
Ella Bischoff,Collectieve Intelligentie,p1,C0.110,Mon,15
Ella Bischoff,Collectieve Intelligentie,h3,C0.110,Thu,11
Ella Bischoff,Collectieve Intelligentie,h1,C0.110,Wed,13
Ella Bischoff,Collectieve Intelligentie,h2,B0.201,Mon,13
Perry Blijleven,Project Numerical Recipes,p1,C0.110,Wed,15
Thyrza Blik,Lineaire Algebra,h1,A1.10,Tue,11
Thyrza Blik,Lineaire Algebra,h2,C1.112,Tue,9
Jarik Blikman,Bioinformatica,h1,A1.04,Wed,13
Jarik Blikman,Data Mining,p1,A1.08,Thu,15
Jarik Blikman,Interactie-ontwerp,h2,B0.201,Thu,13
Jarik Blikman,Data Mining,w1,A1.06,Mon,9
Jarik Blikman,Interactie-ontwerp,h1,B0.201,Thu,15
Jarik Blikman,Data Mining,h1,A1.04,Wed,9
Jarik Blikman,Heuristieken 2,h1,A1.10,Tue,9
Jarik Blikman,Bioinformatica,p1,B0.201,Fri,9
Jarik Blikman,Bioinformatica,w1,A1.10,Tue,13
Jarik Blikman,Bioinformatica,h2,C0.110,Fri,11
Jarik Blikman,Netwerken en systeembeveiliging,p1,A1.10,Mon,11
Jarik Blikman,Heuristieken 2,w1,A1.04,Thu,11
Jarik Blikman,Data Mining,h2,B0.201,Tue,11
Jarik Blikman,Bioinformatica,h3,B0.201,Fri,13
Monika Blikman,Informatie- en organisatieontwerp,h2,A1.06,Tue,15
Monika Blikman,Analysemethoden en -technieken,h1,C0.110,Thu,15
Monika Blikman,Informatie- en organisatieontwerp,w1,A1.08,Mon,9
Monika Blikman,Informatie- en organisatieontwerp,p1,C1.112,Mon,13
Monika Blikman,Informatie- en organisatieontwerp,h1,C0.110,Tue,17
Monika Blikman,Netwerken en systeembeveiliging,p1,A1.08,Tue,13
Monika Blikman,Kansrekenen 2,h1,C0.110,Tue,11
Monika Blikman,Kansrekenen 2,h2,C0.110,Mon,13
Marco Bloemert,Collectieve Intelligentie,w1,A1.04,Fri,15
Marco Bloemert,Collectieve Intelligentie,p1,A1.04,Fri,13
Marco Bloemert,Collectieve Intelligentie,h3,C0.110,Thu,11
Marco Bloemert,Collectieve Intelligentie,h1,C0.110,Wed,13
Marco Bloemert,Collectieve Intelligentie,h2,B0.201,Mon,13
Anjana Bloemsma,Compilerbouw (practicum),p1,A1.06,Mon,11
Guilliano Blomsma,Webprogrammeren en databases,h2,C1.112,Mon,9
