student,course,activity,room,day,time
Yanick Abbing,Software engineering,h1,C0.110,Tue,13
Yanick Abbing,Lineaire Algebra,h1,C0.110,Thu,11
Yanick Abbing,Software engineering,p1,A1.10,Fri,11
Yanick Abbing,Data Mining,p1,A1.06,Wed,11
Yanick Abbing,Analysemethoden en -technieken,h1,C0.110,Mon,15
Yanick Abbing,Data Mining,w1,C1.112,Tue,13
Yanick Abbing,Data Mining,h1,A1.10,Thu,11
Yanick Abbing,Lineaire Algebra,h2,B0.201,Mon,11
Yanick Abbing,Data Mining,h2,C0.110,Mon,9
Yanick Abbing,Software engineering,w1,C1.112,Mon,13
Roelof Adam,Webprogrammeren en databases,h1,A1.10,Mon,13
Roelof Adam,Webprogrammeren en databases,p1,B0.201,Fri,9
Roelof Adam,Webprogrammeren en databases,h2,B0.201,Thu,15
Roelof Adam,Webprogrammeren en databases,w1,A1.10,Fri,15
Willibrordus Agema,Calculus 2,w1,B0.201,Tue,13
Willibrordus Agema,Calculus 2,h1,C0.110,Wed,15
Servaas Anker,Software engineering,h1,C0.110,Tue,13
Servaas Anker,Software engineering,w1,C0.110,Wed,13
Servaas Anker,Software engineering,p1,A1.08,Tue,11
Servaas Anker,Architectuur en computerorganisatie,h2,A1.04,Thu,13
Servaas Anker,Architectuur en computerorganisatie,h1,C1.112,Wed,13
Wissal Ankone,Compilerbouw (practicum),p1,C0.110,Fri,9
Wissal Ankone,Project Genetic Algorithms,p1,A1.04,Tue,9
Herman Apeldoorn,Advanced Heuristics,h1,C1.112,Fri,11
Herman Apeldoorn,Heuristieken 2,w1,A1.08,Tue,9
Herman Apeldoorn,Advanced Heuristics,p1,A1.06,Thu,15
Herman Apeldoorn,Heuristieken 2,h1,C1.112,Mon,11
Evi Appel,Collectieve Intelligentie,h3,C1.112,Thu,15
Evi Appel,Collectieve Intelligentie,h1,C0.110,Thu,17
Evi Appel,Collectieve Intelligentie,w1,A1.10,Tue,13
Evi Appel,Collectieve Intelligentie,h2,C1.112,Wed,11
Evi Appel,Collectieve Intelligentie,p1,C1.112,Wed,9
Wilmer Appelhof,Programmeren in Java 2,p1,B0.201,Mon,9
Benjamin Arendse,Webprogrammeren en databases,w1,A1.04,Tue,11
Benjamin Arendse,Webprogrammeren en databases,p1,B0.201,Fri,9
Benjamin Arendse,Webprogrammeren en databases,h1,A1.10,Mon,13
Benjamin Arendse,Webprogrammeren en databases,h2,B0.201,Thu,15
