student,course,activity,room,day,time
Yanick Abbing,Data Mining,h1,C1.112,Fri,9
Yanick Abbing,Software engineering,w1,A1.10,Wed,15
Yanick Abbing,Lineaire Algebra,h1,C0.110,Fri,9
Yanick Abbing,Software engineering,p1,B0.201,Fri,13
Yanick Abbing,Lineaire Algebra,h2,C1.112,Fri,11
Yanick Abbing,Data Mining,p1,C1.112,Thu,13
Yanick Abbing,Data Mining,h2,A1.04,Fri,11
Yanick Abbing,Analysemethoden en -technieken,h1,C1.112,Tue,15
Yanick Abbing,Data Mining,w1,B0.201,Mon,13
Yanick Abbing,Software engineering,h1,C0.110,Wed,13
Roelof Adam,Webprogrammeren en databases,p1,C1.112,Thu,9
Roelof Adam,Webprogrammeren en databases,w1,A1.10,Thu,11
Roelof Adam,Webprogrammeren en databases,h2,A1.04,Thu,15
Roelof Adam,Webprogrammeren en databases,h1,B0.201,Thu,13
Willibrordus Agema,Calculus 2,w1,A1.04,Thu,9
Willibrordus Agema,Calculus 2,h1,C0.110,Thu,11
Servaas Anker,Architectuur en computerorganisatie,h1,A1.06,Tue,9
Servaas Anker,Software engineering,w1,A1.10,Wed,15
Servaas Anker,Architectuur en computerorganisatie,h2,A1.10,Tue,11
Servaas Anker,Software engineering,p1,C0.110,Fri,13
Servaas Anker,Software engineering,h1,C0.110,Wed,13
Wissal Ankone,Compilerbouw (practicum),p1,B0.201,Wed,11
Wissal Ankone,Project Genetic Algorithms,p1,A1.10,Mon,9
Herman Apeldoorn,Heuristieken 2,w1,C1.112,Wed,15
Herman Apeldoorn,Advanced Heuristics,p1,A1.08,Fri,11
Herman Apeldoorn,Advanced Heuristics,h1,A1.08,Fri,9
Herman Apeldoorn,Heuristieken 2,h1,A1.04,Wed,13
Evi Appel,Collectieve Intelligentie,h1,C1.112,Mon,15
Evi Appel,Collectieve Intelligentie,h3,C0.110,Tue,11
Evi Appel,Collectieve Intelligentie,h2,C0.110,Mon,17
